COUNTRY,CITY,ZONE,METRIC,L8W,L7W,L6W,L5W,L4W,L3W,L2W,L1W,L0W
CO,Bogota,Chapinero,Orders,264650.0,261767.0,277005.0,279886.0,277954.0,275344.0,275633.0,279048.0,274376.0
CO,Bogota,Usaquén,Orders,233674.0,224436.0,241602.0,240411.0,240786.0,236591.0,241475.0,238649.0,236876.0
PE,Lima,Miraflores,Orders,123252.0,125820.0,126245.0,123770.0,126467.0,124376.0,124751.0,123431.0,124757.0
CO,Medellin,Poblado_guayabal,Orders,123163.0,118244.0,124015.0,108165.0,106785.0,117266.0,120384.0,121428.0,117824.0
PE,Lima,San isidro,Orders,109987.0,114369.0,114077.0,113302.0,115501.0,113639.0,113772.0,112622.0,114141.0
CO,Medellin,Laureles_belén,Orders,107288.0,103814.0,108727.0,96041.0,98857.0,103624.0,106250.0,105879.0,104650.0
CO,Bogota,Colina,Orders,97927.0,94438.0,99619.0,99192.0,98940.0,98480.0,100722.0,99589.0,98581.0
AR,Buenos Aires,Microcentro,Orders,92744.0,93388.0,96660.0,96642.0,96920.0,96988.0,96818.0,95960.0,97709.0
MX,Ciudad De Mexico,Del Valle-Narvarte,Orders,85132.0,90633.0,91459.0,91404.0,88751.0,89146.0,93548.0,88587.0,89345.0
MX,Ciudad De Mexico,Roma-Polanco,Orders,77871.0,82068.0,83221.0,84473.0,83361.0,82952.0,83952.0,83850.0,85190.0
AR,Buenos Aires,CABALLITO,Orders,75165.0,75320.0,75023.0,76422.0,76811.0,77011.0,75314.0,74859.0,77294.0
AR,Buenos Aires,Palermo,Orders,70976.0,73141.0,73667.0,75020.0,75523.0,74676.0,75038.0,75072.0,75821.0
CO,Barranquilla,Riomar,Orders,69778.0,67915.0,70502.0,69404.0,71368.0,70207.0,70412.0,69346.0,69760.0
PE,Lima,San Borja,Orders,66519.0,68166.0,68093.0,67680.0,68819.0,67992.0,66970.0,66319.0,67535.0
MX,Guadalajara,La estancia,Orders,58289.0,60368.0,60379.0,61783.0,60704.0,60055.0,63669.0,59945.0,61356.0
AR,Buenos Aires,Belgrano,Orders,54418.0,55790.0,55424.0,56936.0,56532.0,56508.0,56417.0,56663.0,57022.0
CO,Cali,Cali Centro oeste,Orders,51786.0,51760.0,53395.0,51860.0,52238.0,51876.0,53334.0,52981.0,54059.0
MX,Ciudad De Mexico,Coyoacan-Pedregal,Orders,51532.0,55693.0,57557.0,56372.0,55335.0,55601.0,58619.0,54202.0,54076.0
CO,Medellin,Envigado,Orders,51356.0,47679.0,52414.0,46114.0,43804.0,48767.0,50142.0,50336.0,49211.0
CO,Bogota,Engativa,Orders,45886.0,44055.0,45680.0,44471.0,45837.0,43288.0,45772.0,44881.0,45118.0
MX,Guadalajara,Zapopan,Orders,44700.0,46084.0,45853.0,47065.0,45766.0,45322.0,47286.0,45171.0,46171.0
BR,Grande São Paulo,Jardins/Pinheiros,Orders,44640.0,44302.0,43035.0,42173.0,41763.0,40959.0,40308.0,40481.0,39252.0
BR,Grande São Paulo,SP - SP - Itaim Bibi,Orders,44119.0,44100.0,43560.0,41852.0,42078.0,40949.0,40626.0,39811.0,39009.0
CO,Bogota,Salitre,Orders,40557.0,41749.0,41424.0,42208.0,42203.0,41766.0,42682.0,42619.0,42001.0
CO,Barranquilla,Miramar y Alamedas,Orders,40329.0,40443.0,40485.0,40125.0,41150.0,40768.0,39954.0,39725.0,40180.0
PE,Lima,Monterrico,Orders,39263.0,40551.0,41709.0,41621.0,43245.0,42728.0,42828.0,41919.0,42076.0
AR,Buenos Aires,Urquiza - Saavedra,Orders,37053.0,37588.0,36888.0,37593.0,37878.0,38172.0,37189.0,37572.0,37586.0
CO,Bogota,Suba,Orders,36512.0,35069.0,36533.0,35684.0,36154.0,35092.0,36761.0,35263.0,36153.0
MX,Ciudad De Mexico,CDMX_coapa_iztapalapa,Orders,36279.0,42261.0,43508.0,42502.0,39670.0,40832.0,43418.0,38361.0,38505.0
CO,Cali,Ingenio Limonar,Orders,36219.0,35709.0,37532.0,36623.0,36637.0,36836.0,37979.0,37763.0,38128.0
PE,Lima,San Miguel,Orders,36060.0,37565.0,37560.0,37296.0,37875.0,37457.0,38067.0,36107.0,37478.0
CO,Medellin,Caribe_centro,Orders,32524.0,32953.0,33382.0,31196.0,32034.0,34037.0,34475.0,33873.0,34286.0
BR,Grande São Paulo,Barra_funda/Lapa,Orders,32319.0,32330.0,32468.0,31989.0,31272.0,31293.0,30329.0,29615.0,28746.0
CO,Medellin,Sabaneta,Orders,31589.0,30482.0,31925.0,25305.0,23111.0,29363.0,30960.0,31873.0,31751.0
CO,Bogota,Fontibon,Orders,30623.0,30094.0,31271.0,31113.0,31367.0,30947.0,31894.0,31457.0,31225.0
MX,Monterrey,San Pedro,Orders,30270.0,30314.0,29433.0,31736.0,31216.0,28808.0,31595.0,31612.0,31908.0
CL,Santiago De Chile,las_condes_vitacura,Orders,29627.0,28525.0,28504.0,28789.0,29692.0,28347.0,22013.0,26942.0,28605.0
CO,Barranquilla,Centro y nor occidente,Orders,29368.0,29516.0,29441.0,29917.0,30242.0,29992.0,29906.0,29244.0,29273.0
MX,Monterrey,Mitras Centro,Orders,28714.0,29232.0,27935.0,30277.0,29669.0,28858.0,31440.0,30341.0,30811.0
AR,Buenos Aires,DEVOTO,Orders,28192.0,28633.0,28204.0,28776.0,28606.0,28437.0,27164.0,27496.0,28384.0
CL,Santiago De Chile,Ñuñoa Providencia,Orders,27341.0,27054.0,26915.0,27543.0,28071.0,27190.0,22076.0,25644.0,27846.0
MX,Ciudad De Mexico,Satélite-Naucalpan,Orders,27321.0,30607.0,30553.0,30792.0,29859.0,30120.0,31786.0,29234.0,29727.0
CO,Bucaramanga,Centro y Cabecera,Orders,26894.0,26221.0,27078.0,27353.0,27242.0,26838.0,27914.0,26678.0,27163.0
CO,Bogota,Kennedy,Orders,25982.0,24459.0,25013.0,24877.0,24659.0,24101.0,25631.0,24418.0,25059.0
CO,Cali,Cali Norte,Orders,25821.0,25962.0,26938.0,26357.0,26644.0,26729.0,27736.0,26698.0,27707.0
CO,Bogota,Candelaria,Orders,24680.0,23404.0,24322.0,24688.0,24944.0,25075.0,25441.0,24982.0,23452.0
CO,Cali,Pance y ciudad jardin,Orders,24286.0,23806.0,24875.0,24298.0,23952.0,24263.0,24797.0,25265.0,24755.0
CO,Medellin,Itagui_y_la_estrella,Orders,24072.0,23825.0,24986.0,23033.0,22837.0,24697.0,24958.0,24743.0,24848.0
MX,Guadalajara,Valle Real,Orders,22963.0,23029.0,23363.0,23957.0,23428.0,23285.0,25179.0,23455.0,23809.0
MX,Monterrey,Contry,Orders,22599.0,23087.0,22872.0,24181.0,23910.0,22754.0,24811.0,23757.0,24620.0
AR,Buenos Aires,Chacabuco - La Boca,Orders,20888.0,20780.0,20582.0,20237.0,20519.0,20791.0,19850.0,19751.0,20451.0
PE,Lima,La Molina,Orders,20727.0,20613.0,20776.0,19894.0,20126.0,19897.0,20128.0,19629.0,19739.0
PE,Lima,Cono norte,Orders,20174.0,21237.0,20574.0,19828.0,20722.0,20554.0,20814.0,19406.0,20710.0
AR,Buenos Aires,Flores,Orders,19812.0,19830.0,19166.0,19615.0,20117.0,21012.0,20003.0,20527.0,21009.0
PE,Lima,Centro Lima,Orders,19225.0,20461.0,20394.0,20197.0,20873.0,20106.0,20462.0,19647.0,20575.0
MX,Puebla,Angelopolis,Orders,18229.0,19701.0,20556.0,21173.0,21795.0,20977.0,22138.0,20724.0,20852.0
CO,Bucaramanga,Floridablanca,Orders,18091.0,17177.0,18315.0,17787.0,18094.0,17660.0,18459.0,17953.0,18400.0
AR,Buenos Aires,Vicente Lopez - Olivos,Orders,17979.0,18274.0,18052.0,18412.0,18660.0,18145.0,17548.0,17415.0,18323.0
CO,Barranquilla,Prado,Orders,17922.0,19243.0,18567.0,19539.0,19912.0,19875.0,20178.0,19200.0,19822.0
MX,Ciudad De Mexico,Tlalnepantla,Orders,17894.0,19999.0,20106.0,20354.0,19713.0,19962.0,20968.0,18840.0,19657.0
MX,Ciudad De Mexico,CDMX_GAM,Orders,17851.0,20440.0,21267.0,21755.0,20708.0,21212.0,22204.0,20347.0,20315.0
MX,Merida,MID_MX NORTE,Orders,17775.0,18379.0,19177.0,20003.0,19681.0,18829.0,19703.0,17919.0,18625.0
CO,Cali,Lido Plametto,Orders,17675.0,17789.0,18239.0,18096.0,18271.0,18257.0,18777.0,18382.0,18691.0
MX,Ciudad De Mexico,Santafe,Orders,17653.0,18593.0,18727.0,19270.0,19818.0,18550.0,19658.0,19428.0,19868.0
